"Family" "Genus" "species" "Genus_species" "species_lsid" "author" "year" "parentheses" "distribution_WSC" "Notes" "Citation_WSC" "Measured" "Ecological_classification" "Guild" "Cave_deep" "Cave_entr" "SSH" "External" "Alien" "Verticality" "Pigment" "Eyeless" "Eyes_regression" "Leg_elongation" "Body_length_min_f" "Body_length_max_f" "Body_length_min_m" "Body_length_max_m" "Body_length_avg_f" "Body_length_avg_m" "Sexual_Size_Dimorphism" "Body_length_avg" "Prosoma_length_f" "Prosoma_length_m" "Prosoma_length_avg" "Prosoma_width_f" "Prosoma_width_m" "Prosoma_width_avg" "Prosoma_shape" "Prosoma_height_f" "Prosoma_height_m" "Prosoma_height_avg" "Profile_flattening" "Femur_I_length_f" "Femur_I_length_m" "Femur_I_length_avg" "Femur_elongation" "Tibia_I_length_f" "Tibia_I_length_m" "Tibia_I_length_avg" "Tibia_elongation" "Fang_length_f" "Fang_length_m" "Fang_length_avg" "Clypeus_height_f" "Clypeus_height_m" "Clypeus_height_avg" "AME" "AME_type" "ALE" "PME" "PLE" "Eye_reduction_ratio" "AME.ALE" "PME.PLE" "Capture_web" "Sensing_web" "No_web" "Tube_web" "Sheet_web" "Space_web" "Orb_web" "Ambush_hunter" "Active_hunter" "Food_specialist" "Dispersal"
"Rhode aspinifera" "Dysderidae" "Rhode" "aspinifera" "Rhode aspinifera" "urn:lsid:nmbe.ch:spidersp:004781" "Nikolic" 1963 1 "Slovenia" "Croatian Biospeleological Society collection: measured sampled CBSS AR6659, AR663 females & ROCR165 male" "Nikolić, F. (1963). Pauci iz nekih pecina Slovenije. Congress of Yougoslavian Speleologists 3, Sarajevo, pp. 157-167; Deeleman-Reinhold, C. L. (1978a). Les araignées du genre Rhode de Yougoslavie (Araneae, Dysderidae). International Journal of Speleology 9: 251-266; Thaler, K. (1990a). Das Männchen von Rhode aspinifera (Nikolić) (Arachnida: Araneae, Dysderidae). Mitteilungen der Schweizerischen Entomologischen Gesellschaft 63(1-2): 147-152; Deeleman-Reinhold, C. L. (1993a). The genus Rhode and the harpacteine genera Stalagtia, Folkia, Minotauria, and Kaemis (Araneae, Dysderidae) of Yugoslavia and Crete, with remarks on the genus Harpactea. Revue Arachnologique 10(6): 105-135." "yes" "Troglobiont" "Ground" 1 1 1 0 0 "Soil" "Partly" 1 0 0 3.8 5.29 3.3 3.4 4.545 3.35 0.737 3.55 1.8 1.38 1.59 1.25 1 1.125 1.413 NA NA NA NA 3.2 1.3 2.25 0.634 2.6 1.05 1.825 0.514 0.34 0.285 0.3125 NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Rhode stalitoides" "Dysderidae" "Rhode" "stalitoides" "Rhode stalitoides" "urn:lsid:nmbe.ch:spidersp:004786" "Deeleman-Reinhold" 1978 0 "Bosnia and Herzegovina" "Croatian Biospeleological Society collection: measured sampled CBSS AR3975 male & female & AR3792 male" "Deeleman-Reinhold, C. L. (1978a). Les araignées du genre Rhode de Yougoslavie (Araneae, Dysderidae). International Journal of Speleology 9: 251-266" "no" "Troglobiont" "Ground" 1 0 0 0 0 NA "Depigmented" 1 0 0 5.283 5.432 3.79 4.7 5.3 4.245 0.801 4.7 2.35 2.05 2.05 1.73 1.55 1.55 1.323 NA NA NA NA 2.3 2.4 2.35 0.5 2.2 2.2 2.2 0.468 0.48 0.46 0.47 NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Robertus cantabricus" "Theridiidae" "Robertus" "cantabricus" "Robertus cantabricus" "urn:lsid:nmbe.ch:spidersp:007961" "Fage" 1931 0 "Spain" "-" "Fage (1931)" "no" "Troglophile" "Space" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 1 1 NA NA NA NA 4 NA NA 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Robertus cardesensis" "Theridiidae" "Robertus" "cardesensis" "Robertus cardesensis" "urn:lsid:nmbe.ch:spidersp:007962" "Dresco" 1959 0 "Spain" "-" "Dresco (1959)" "no" "Troglophile" "Space" 0 1 0 1 0 "Soil + Wall" "Fully" 0 0 0 NA NA NA NA NA NA NA 3 1.52 NA 1.52 1.05 NA 1.05 1.448 NA NA NA NA 1.51 NA 1.51 0.503 1.27 NA 1.27 0.423 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Robertus mazaurici" "Theridiidae" "Robertus" "mazaurici" "Robertus mazaurici" "urn:lsid:nmbe.ch:spidersp:007980" "Simon" 1901 1 "France" "-" "Simon (1901)" "no" "Troglophile" "Space" 0 1 0 1 0 "Soil + Wall" "Depigmented" 0 1 1 NA NA NA NA 3.5 3 0.857 3.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Sardostalita patrizii" "Dysderidae" "Sardostalita" "patrizii" "Sardostalita patrizii" "urn:lsid:nmbe.ch:spidersp:004791" "Roewer" 1956 1 "Sardinia" "-" "Roewer, C. F. (1956a). Cavernicole Arachniden aus Sardinien II. Fragmenta Entomologica 2: 97-104.; Gasparo, F. (1999b). Ridescrizione di Stalita patrizii Roewer, 1956, specie tipo del nuovo genere Sardostalita (Araneae, Dysderidae). Bollettino del Museo Regionale di Scienze Naturali di Torino 16: 59-76." "no" "Troglobiont" "Ground" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 4.6 9.99 9.07 9.24 7.295 9.155 1.255 9.6 3.4 4 3.7 1.5 3.2 2.35 1.574 NA NA NA NA 3.6 5.47 4.535 0.472 3.2 4.75 3.975 0.414 0.94 0.96 0.95 NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Segestria cavernicola" "Segestriidae" "Segestria" "cavernicola" "Segestria cavernicola" "urn:lsid:nmbe.ch:spidersp:004304" "Kulczynski" 1915 0 "Italy" "-" "Kulczynski (1915)" "no" "Troglophile" "Sensing" 0 1 0 1 0 "Wall" "Fully" 0 0 0 NA NA NA NA NA NA NA 6 3.8 3.1 3.45 NA NA NA NA NA NA NA NA 4.2 3.5 3.85 0.642 5.2 3.8 4.5 0.75 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 0 1 0 1 0 0 0 0 0 0 0
"Speleoharpactea levantina" "Dysderidae" "Speleoharpactea" "levantina" "Speleoharpactea levantina" "urn:lsid:nmbe.ch:spidersp:004792" "Ribera" 1982 0 "Spain" "-" "Ribera, C. (1982). Speleoharpactea levantina n. gen. n. sp. (Araneae, Dysderidae) nuevo género cavernícola del Levante Español. Publicaciones del Departamento de Zoología, Universidad de Barcelona 8: 51-58." "yes" "Troglobiont" "Ground" 1 0 0 0 0 NA "Depigmented" 1 0 0 4.53 4.53 4.05 4.05 4.53 4.05 0.894 7 1.87 1.77 1.82 1.52 1.44 1.48 1.23 NA NA NA NA 1.82 2.02 1.92 0.274 1.64 1.77 1.705 0.244 NA NA NA NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Spermophora senoculata" "Pholcidae" "Spermophora" "senoculata" "Spermophora senoculata" "urn:lsid:nmbe.ch:spidersp:003927" "Duges" 1836 1 "Middle East. Introduced to southern Europe, USA, South America, East Asia" "Bernhard Huber collection" "new" "yes" "Troglophile" "Sheet" 0 1 NA 1 0 "Wall" "Partly" 0 0 1 2.2 2.6 2.3 2.7 2.4 2.5 1.042 2.45 0.7 0.7 0.7 0.8 0.8 0.8 0.875 0.6 0.6 0.6 0.857 2.6 2.8 2.7 1.102 2.6 2.9 2.75 1.122 0.09 0.09 0.09 0.35 0.35 0.35 0 "Absent_Adaptation" 0.065 0.06 0.06 0.132 NA 0.015 1 0 0 0 1 1 0 0 0 0 1
"Stalagtia hercegovinensis" "Dysderidae" "Stalagtia" "hercegovinensis" "Stalagtia hercegovinensis" "urn:lsid:nmbe.ch:spidersp:004793" "Nosek" 1905 1 "Croatia, Bosnia and Herzegovina, Montenegro" "Croatian Biospeleological Society collection: Measured specimens: CBSS AR6067, 2675 & 4198 males, & 6067, 5995 & 5819 females" "Nosek, A. (1905a). Die Arachniden der herzegowinischen Höhlen. Verhandlungen der Kaiserlich-Königlichen Zoologisch-Botanischen Gesellschaft in Wien 55: 212-221.; Kratochvíl, J. (1970). Cavernicole Dysderae. Přírodovědné práce ústavů Československé Akademie Věd v Brně (N.S.) 4: 1-62.; Deeleman-Reinhold, C. L. (1993a). The genus Rhode and the harpacteine genera Stalagtia, Folkia, Minotauria, and Kaemis (Araneae, Dysderidae) of Yugoslavia and Crete, with remarks on the genus Harpactea. Revue Arachnologique 10(6): 105-135." "yes" "Troglobiont" "Ground" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 10.23 10.89 6.55 7.95 10.56 7.25 0.687 9.25 4.3 3.9 4.1 3.4 3.01 3.205 1.279 NA NA NA NA 4.15 4.73 4.44 0.48 3.6 4.21 3.905 0.422 0.85 1.06 0.955 NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Stalagtia monospina" "Dysderidae" "Stalagtia" "monospina" "Stalagtia monospina" "urn:lsid:nmbe.ch:spidersp:004795" "Absolon & Kratochvi­l" 1933 1 "Montenegro" "Croatian Biospeleological Society collection: measured samples CBSS AR1769 & 1753 females & 1753 male" "Kratochvíl J (1970) Cavernicole Dysderae. Přírodovědné práce ústavů Československé Akademie Věd v Brně (N.S.) 4: 1-62; Deeleman-Reinhold, C. L. (1993a). The genus Rhode and the harpacteine genera Stalagtia, Folkia, Minotauria, and Kaemis (Araneae, Dysderidae) of Yugoslavia and Crete, with remarks on the genus Harpactea. Revue Arachnologique 10(6): 105-135." "yes" "Troglobiont" "Ground" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 7 7 7.3 7.3 7 7.3 1.043 7 3.2 3.5 3.35 2.2 2.95 2.575 1.301 NA NA NA NA 3.4 4.1 3.75 0.536 2.85 3.5 3.175 0.454 0.87 0.97 0.92 NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Stalita hadzii" "Dysderidae" "Stalita" "hadzii" "Stalita hadzii" "urn:lsid:nmbe.ch:spidersp:004797" "Kratochvi­l" 1934 0 "Slovenia" "Croatian Biospeleological Society collection: measured samples CBSS AR5527 & 5533 females, & 2451 male" "Kratochvíl, J. (1934). Pregled pecinskih paukova u Jugoslaviji. Prirodoslovne Razprave 2: 165-226.; Kratochvíl, J. (1970). Cavernicole Dysderae. Přírodovědné práce ústavů Československé Akademie Věd v Brně (N.S.) 4: 1-62.; Pavlek, M. & Mammola, S. (2020). Niche-based processes explaining the distributions of closely related subterranean spiders. Journal of Biogeography, in press." "no" "Troglobiont" "Ground" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 5.71 8.2 7 7 6.955 7 1.006 7 3.64 3.4 3.52 2.95 2.9 2.925 1.203 NA NA NA NA 3.9 3.85 3.875 0.554 3.2 3.2 3.2 0.457 0.82 0.83 0.825 NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Stalita pretneri" "Dysderidae" "Stalita" "pretneri" "Stalita pretneri" "urn:lsid:nmbe.ch:spidersp:004799" "Deeleman-Reinhold" 1971 0 "Croatia" "Croatian Biospeleological Society collection: measured samples: females CBSS AR475, 3007, 3014, & ROC147" "Deeleman-Reinhold, C. L. (1971b). Beitrag zur Kenntnis höhlenbewohnender Dysderidae (Araneida) aus Jugoslawien. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis 14: 95-120.; Pavlek, M. & Mammola, S. (2020). Niche-based processes explaining the distributions of closely related subterranean spiders. Journal of Biogeography, in press." "yes" "Troglobiont" "Ground" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 7.38 8.22 8.4 8.4 7.8 8.4 1.077 8 3.6 4.08 3.84 2.8 3.31 3.055 1.257 NA NA NA NA 3.01 4.1 3.555 0.444 2.5 3.2 2.85 0.356 0.81 0.85 0.83 NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Stalita taenaria" "Dysderidae" "Stalita" "taenaria" "Stalita taenaria" "urn:lsid:nmbe.ch:spidersp:004800" "Schiodte" 1847 0 "Italy, Slovenia, Croatia" "Croatian Biospeleological Society collection: measured samples CBSS AR2477, 1301, 1304 & 5530, &ROC107 females, & 1305, 5538, 5532 & ROC115 male" "Kratochvíl, J. (1970). Cavernicole Dysderae. Přírodovědné práce ústavů Československé Akademie Věd v Brně (N.S.) 4: 1-62.; Pavlek, M. & Mammola, S. (2020). Niche-based processes explaining the distributions of closely related subterranean spiders. Journal of Biogeography, in press" "yes" "Troglobiont" "Ground" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 7.12 8.05 5.59 6.63 7.585 6.11 0.806 7.4 3.7 3.3 3.5 2.91 2.75 2.83 1.237 NA NA NA NA 3.15 3.5 3.325 0.449 2.76 3 2.88 0.389 0.8 0.73 0.765 NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Stalitella noseki" "Dysderidae" "Stalitella" "noseki" "Stalitella noseki" "urn:lsid:nmbe.ch:spidersp:004801" "Absolon & Kratochvi­l" 1933 0 "Bosnia and Herzegovina, Montenegro" "Croatian Biospeleological Society collection: measured sample CBSS AR3671 female" "Deeleman-Reinhold, C. L. (1971b). Beitrag zur Kenntnis höhlenbewohnender Dysderidae (Araneida) aus Jugoslawien. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis 14: 95-120.; Kratochvíl, J. (1970). Cavernicole Dysderae. Přírodovědné práce ústavů Československé Akademie Věd v Brně (N.S.) 4: 1-62." "no" "Troglobiont" "Ground" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 11.6 13 10 10 12.3 10 0.813 11.15 5.1 5.1 5.1 3.9 4 3.95 1.291 1.345 NA NA NA 6.1 6.2 6.15 0.552 5.6 5.1 5.35 0.48 0.92 1.5 1.21 NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Stygopholcus absoloni" "Pholcidae" "Stygopholcus" "absoloni" "Stygopholcus absoloni" "urn:lsid:nmbe.ch:spidersp:003408" "Kulczynski" 1914 1 "Croatia, Bosnia and Herzegovina" "Bernhard Huber collection" "Huber et al, in prep.; new" "yes" "Troglophile" "Sheet" 0 1 1 1 0 "Wall" "Partly" 0 1 1 4.3 6 4.3 6 5.15 5.15 1 5.15 1.9 1.9 1.9 2.1 2.1 2.1 0.905 1.3 1.3 1.3 0.684 11.9 13.4 12.65 2.456 12 12.8 12.4 2.408 0.21 0.21 0.21 0.8 0.9 0.85 0.055 "Present" 0.155 0.155 0.155 0.153 0.125 0.07 1 0 0 0 1 1 0 0 0 0 1
"Stygopholcus skotophilus" "Pholcidae" "Stygopholcus" "skotophilus" "Stygopholcus skotophilus" "urn:lsid:nmbe.ch:spidersp:003419" "Kratochvíl" 1940 0 "Croatia, Bosnia and Herzegovina, Montenegro" "Bernhard Huber collection" "Huber et al, in prep.; new" "no" "Troglophile" "Sheet" 0 1 1 1 0 "Wall" "Partly" 0 1 1 4.8 6.8 5 6.3 5.8 5.65 0.974 5.725 1.9 2 1.95 2.1 2.2 2.15 0.907 1.3 1.4 1.35 0.692 12.4 12.7 12.55 2.192 12.4 12.8 12.6 2.201 0.21 0.22 0.215 0.9 1 0.95 0.06 "Present" 0.175 0.16 0.17 0.149 0.13 0.09 1 0 0 0 1 1 0 0 0 0 1
"Sulcia cretica" "Leptonetidae" "Sulcia" "cretica" "Sulcia cretica" "urn:lsid:nmbe.ch:spidersp:003092" "Fage" 1945 0 "Greece (Crete)" "-" "Fage, L, (1945a), A propos de quelques araignées cavernicoles de Crète, Bulletin du Muséum National d'Histoire Naturelle de Paris (2) 17: 109-114; Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522," "no" "Troglophile" "Space" 0 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 1 NA 2.2 2.5 3 2.2 2.75 1.25 2.4 NA 0.85 0.85 NA 0.66 0.66 1.288 NA NA NA NA NA NA NA NA NA NA NA NA 0.18 NA 0.18 NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Sulcia inferna" "Leptonetidae" "Sulcia" "inferna" "Sulcia inferna" "urn:lsid:nmbe.ch:spidersp:003095" "Kratochvi­l" 1938 0 "Croatia" "-" "Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522; Kratochvíl, J, (1938b), Étude sur les araignées cavernicoles du genre Sulcia nov, gen, Práce Moravské Přírodovědecké Společnosti 11(3): 1-25, " "no" "Troglobiont" "Space" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 1 NA 1.7 NA NA 1.7 NA NA 1.7 NA NA NA NA NA NA NA NA NA NA NA 2.82 NA 2.82 1.659 3 NA 3 1.765 NA NA NA NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
"Sulcia nocturna" "Leptonetidae" "Sulcia" "nocturna" "Sulcia nocturna" "urn:lsid:nmbe.ch:spidersp:003098" "Kratochvi­l" 1938 0 "Croatia" "Croatian Biospeleological Society collection: measured samples CBSS AR108 & 99 females & 2525 & 3849 males" "Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522,; Kratochvíl, J, (1938b), Étude sur les araignées cavernicoles du genre Sulcia nov, gen, Práce Moravské Přírodovědecké Společnosti 11(3): 1-25," "yes" "Troglobiont" "Space" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 1 2.6 2.7 1.9 2.521 2.65 2.211 0.834 2.3 0.928 0.878 NA 0.831 0.639 NA NA 0.173 0.124 NA NA 3.25 3.32 3.285 1.428 3.78 3.92 3.85 1.674 0.359 0.324 0.341 NA NA NA 0 "Absent_Ontology" 0 0 0 NA 0 0 1 0 0 0 0 1 0 0 0 0 0
"Sulcia occulta" "Leptonetidae" "Sulcia" "occulta" "Sulcia occulta" "urn:lsid:nmbe.ch:spidersp:003099" "Kratochvi­l" 1938 0 "Bosnia and Herzegovina, Serbia" "Croatian Biospeleological Society collection: measured samples CBSS AR 2714 female & 3477 male" "Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522,; Kratochvíl, J, (1938b), Étude sur les araignées cavernicoles du genre Sulcia nov, gen, Práce Moravské Přírodovědecké Společnosti 11(3): 1-25,; Deltshev, C,, Ćurčić, B,, Wang, C, X,, Yao, Z, Y,, Antić, D,, Ćurčić, S, & Rađa, T, (2014), New data on the spiders (Araneae) in the caves of Balkan peninsula, Archives of Biological Science Belgrade 66(2): 465-471" "yes" "Troglobiont" "Space" 1 1 0 0 0 "Soil + Wall" "Depigmented" 1 0 1 2.4 2.5 NA 2.114 2.45 NA NA 2.45 0.789 0.689 NA 0.595 0.548 NA NA 0.201 0.25 NA NA 3.0255 3.041 NA NA NA 3.55 NA NA 0.262 0.224 NA NA NA NA 0 "Absent_Ontology" 0 0.067 0 NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Tegenaria agnolettii" "Agelenidae" "Tegenaria" "agnolettii" "Tegenaria agnolettii" "urn:lsid:nmbe.ch:spidersp:021187" "Brignoli" 1978 0 "Turkey" "-" "Brignoli, P. M. (1978n). Ragni di Turchia IV. Leptonetidae, Dysderidae ed Agelenidae nuovi o interessanti di grotte della Turchia meridionale (Araneae). Quaderni di Speleologia, Circolo Speleologico Romano 3: 37-54" "no" "Troglophile" "Sheet" 0 1 0 0 0 "Wall" "Partly" 0 1 0 NA NA NA NA 5.3 NA NA 5.3 2.05 NA 2.05 1.65 NA 1.65 1.242 NA NA NA NA 1.5 NA 1.5 0.283 1.27 NA 1.27 0.24 NA NA NA NA NA NA NA "Present" NA NA 0 0 NA NA 1 0 0 1 1 0 0 0 0 0 0
"Tegenaria annulata" "Agelenidae" "Tegenaria" "annulata" "Tegenaria annulata" "urn:lsid:nmbe.ch:spidersp:021192" "Kulczynski" 1913 0 "Croatia, Bosnia and Herzegovina, Serbia, Montenegro" "-" "Bolzern, A., Burckhardt, D., & Hänggi, A. (2013). Phylogeny and taxonomy of European funnel-web spiders of the Tegenaria-Malthonica complex (Araneae: Agelenidae) based upon morphological and molecular data. Zoological Journal of the Linnean Society, 168(4), 723–848." "yes" "Troglophile" "Sheet" 0 0 0 1 0 "Wall" "Fully" 0 0 0 NA NA NA NA NA 10 NA 10 5.33 3.58 4.455 3.89 2.62 3.255 1.369 NA NA NA NA 7.46 6.29 6.875 0.688 6.8 6.32 6.56 0.656 NA NA NA 0.34 NA 0.34 0.17 "Present" 0.22 0.2 0.21 0.588 0.09 0.2 1 0 0 1 1 0 0 0 0 0 0
"Tegenaria bayeri" "Agelenidae" "Tegenaria" "bayeri" "Tegenaria bayeri" "urn:lsid:nmbe.ch:spidersp:021159" "Kratochvi­l " 1934 0 "Montenegro, Bosnia and Herzegovina, Serbia, Greece" "Croatian Biospeleological Society collection CBSS AR6766 female" "Kratochvíl J (1934) Pregled pecinskih paukova u Jugoslaviji [Liste générale des Araignées cavernicoles en Yougoslavie]. Prirodoslovne Razprave 2: 165-226 " "yes" "Troglophile" "Sheet" 0 1 0 1 0 "Wall" "Partly" 0 0 0 NA 10.507 NA NA NA 13 NA 13 4.515 NA NA 3.164 NA NA NA 1.342 NA NA NA 9.889 NA 9.889 0.761 9.826 NA 9.826 0.756 1.092 NA NA 0.382 NA 0.382 0.183 "Present" 0.2 0.185 0.18 0.49 0.048 0.154 1 0 0 1 1 0 0 0 0 0 0
"Tegenaria bosnica" "Agelenidae" "Tegenaria" "bosnica" "Tegenaria bosnica" "urn:lsid:nmbe.ch:spidersp:021160" "Kratochvi­l & Miller" 1940 0 "Croatia, Bosnia and Herzegovina, Montenegro" "Croatian Biospeleological Society collection: measured sample CBSS AR1516 female; I think synonymizing this species with animata is wrong and that this is avalid species" "Kratochvíl J, Miller F (1940a) Neue Höhlenspinnen der Gattung Tegenaria aus Jugoslawien. Zoologischer Anzeiger 131: 188-201" "no" "Troglophile" "Sheet" 0 1 0 1 0 "Wall" "Fully" 0 0 0 NA 11.764 8.6 13 10.8 10.8 1 10.8 5.2 5.3 5.25 4.343 NA NA NA 1.662 NA NA NA 7.951 9.84 8.896 0.824 7.802 10.4 9.101 0.843 1.454 NA NA 0.602 NA 0.602 0.199 "Present" 0.254 0.227 0.226 0.376 0.074 0.207 1 0 0 1 1 0 0 0 0 0 0
"Tegenaria domestica" "Agelenidae" "Tegenaria" "domestica" "Tegenaria domestica" "urn:lsid:nmbe.ch:spidersp:021218" "Clerck" 1757 1 "Europe to China, Japan. Introduced to Australia, New Zealand, the Americas" "-" "Bolzern et al (2013)" "no" "Troglophile" "Sheet" 0 1 0 1 0 "Soil + Wall" "Fully" 0 0 0 8.1 8.6 NA NA 8.35 8.85 1.06 8.6 4.05 4.35 4.2 2.85 3.25 3.05 1.377 NA NA NA NA 4 5.1 4.55 0.529 4.1 4.95 4.525 0.526 NA NA NA 0.3 NA 0.3 0.15 "Present" 0.17 0.17 0.2 0.575 0.08 0.17 1 0 0 1 1 0 0 0 0 0 1
"Tegenaria forestieroi" "Agelenidae" "Tegenaria" "forestieroi" "Tegenaria forestieroi" "urn:lsid:nmbe.ch:spidersp:021232" "Brignoli" 1978 0 "Turkey" "-" "Brignoll (1978)" "no" "Troglophile" "Sheet" 0 0 0 1 0 "Wall" "Fully" 0 0 0 NA NA NA NA 7.05 7.05 1 7.05 2.8 NA 2.8 2.07 NA 2.07 1.353 NA NA NA NA 4.17 NA 4.17 0.591 4.05 NA 4.05 0.574 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 1 1 0 0 0 0 0 0
"Tegenaria levantina" "Agelenidae" "Tegenaria" "levantina" "Tegenaria levantina" "urn:lsid:nmbe.ch:spidersp:021246" "Barrientos" 1981 0 "Spain" "-" "Barrientos (1981), Ribera & Barrientos (1986)" "no" "Troglophile" "Sheet" 0 0 0 1 0 "Wall" "Fully" 0 0 0 NA NA NA NA 4.28 7.34 1.715 5.81 1.76 3.54 2.65 1.4 2.53 1.965 1.349 NA NA NA NA 1.76 3.8 2.78 0.478 1.6 3.8 2.7 0.465 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 1 1 0 0 0 0 0 0
"Tegenaria pagana" "Agelenidae" "Tegenaria" "pagana" "Tegenaria pagana" "urn:lsid:nmbe.ch:spidersp:021268" "C. L. Koch" 1840 0 "Europe to Central Asia. Introduced to USA, Mexico, Brazil, Chile" "Croatian Biospeleological Society collection" "Bolzern et al (2013)" "yes" "Troglophile" "Sheet" 1 1 0 1 0 "Wall" "Fully" 0 0 0 6 9.9 6 8.3 7.95 7.15 0.899 7.55 3.41 3.8 3.605 2.66 NA 2.66 1.355 NA NA NA NA 3.97 NA 3.97 0.526 3.63 NA 3.63 0.481 NA NA NA 0.28 NA 0.28 0.14 "Present" 0.19 0.17 0.18 0.607 0.07 0.17 1 0 0 1 1 0 0 0 0 0 0
"Tegenaria parietina" "Agelenidae" "Tegenaria" "parietina" "Tegenaria parietina" "urn:lsid:nmbe.ch:spidersp:021270" "Fourcroy" 1785 1 "Europe, North Africa to Israel and Central Asia. Introduced to Jamaica, Paraguay, South Africa, Sri Lanka" "Croatian Biospeleological Society collection" "Bolzern et al (2013)" "no" "Troglophile" "Sheet" 0 1 0 1 0 "Wall" "Fully" 0 0 0 NA NA NA NA 11.24 11.24 1 11.24 5.32 NA 5.32 3.92 NA 3.92 1.357 NA NA NA NA 7.3 NA 7.3 0.649 7.58 NA 7.58 0.674 NA NA NA 0.54 NA 0.54 0.18 "Present" 0.23 0.2 0.22 0.384 0.09 0.2 1 0 0 1 1 0 0 0 0 0 0
"Tegenaria percuriosa" "Agelenidae" "Tegenaria" "percuriosa" "Tegenaria percuriosa" "urn:lsid:nmbe.ch:spidersp:021274" "Brignoli" 1972 0 "Bulgaria, Turkey" "-" "Gasparo (2007)" "no" "Troglophile" "Sheet" 0 0 0 1 0 "Wall" "Fully" 0 0 0 NA NA NA NA 9.8 8.55 0.872 9.175 4.27 3.68 3.975 3.08 2.99 3.035 1.31 NA NA NA NA 4.74 5.07 4.905 0.535 4.6 4.94 4.77 0.52 1.93 1.5 1.715 0.24 0.23 0.235 0.11 "Present" 0.19 0.15 0.16 0.649 NA NA 1 0 0 1 1 0 0 0 0 0 0
